document,paragraph_index,original_text,semplit_umt5_text,semplit_umt5_n_tokens,semplit_umt5_n_tokens_all,semplit_umt5_n_chars,semplit_umt5_n_chars_all,semplit_umt5_n_syllables,semplit_umt5_n_words,semplit_umt5_n_unique_lemmas,semplit_umt5_n_sentences,semplit_umt5_n_other,semplit_umt5_n_nouns,semplit_umt5_n_verbs,semplit_umt5_n_number,semplit_umt5_n_symbols,semplit_umt5_n_adverbs,semplit_umt5_n_articles,semplit_umt5_n_pronouns,semplit_umt5_n_particles,semplit_umt5_n_adjectives,semplit_umt5_n_prepositions,semplit_umt5_n_proper_nouns,semplit_umt5_n_punctuations,semplit_umt5_n_interjections,semplit_umt5_n_coordinating_conjunctions,semplit_umt5_n_subordinating_conjunctions,semplit_umt5_n_active_verbs,semplit_umt5_n_passive_verbs,semplit_umt5_ttr,semplit_umt5_gulpease,semplit_umt5_flesch_vacca,semplit_umt5_lexical_density,semplit_umt5_n_vdb,semplit_umt5_n_vdb_fo,semplit_umt5_n_vdb_au,semplit_umt5_n_vdb_ad,semplit_umt5_semantic_similarity,semplit_umt5_editdistance,semplit_umt5_n_added_tokens,semplit_umt5_n_deleted_tokens,semplit_umt5_n_added_vdb_tokens,semplit_umt5_n_deleted_vdb_tokens
07108e7d68b7e897ed6a800be9802105,11,"Nonostante le criticità, si riconosce alla partecipata un riguardevole potenziale che induce a ritenere la partecipazione strumentale al perseguimento degli obiettivi istituzionali di questo Ente, ravvisando pertanto un interesse a mantenere la partecipazione posseduta nella Società.","Nonostante ci siano problemi, è importante considerare che il partecipante sia stato ancora molto grande nel raggiungere gli obiettivi dell'Ente, quindi è molto importante mantenere la partecipazione posseduta nella Società.",31,34,192,195,78,28,22,1,0,6,9,0,0,4,3,1,0,3,3,0,3,0,0,2,9,0,90.32258064516128,36.74193548387097,11.451612903225794,0.7096774193548387,27,25,2,1,70.50713300704956,129,21,24,19,15
07108e7d68b7e897ed6a800be9802105,12,"Il bilancio d'esercizio al 31 dicembre 2017 ha registrato una perdita pari ad € 547.492,00. La suddetta perdita, data l'impossibilità di copertura nell'esercizio medesimo, è stata riportata a nuovo determinando, in tal modo, una riduzione del patrimonio netto ad € 2.952.508,00 (€ 3.500.000,00 - 547.492,00).","Il bilancio dell'anno 2017 ha dato una perdita di € 547.492,00, mentre se l'azienda non si riesce a copertura in alcun esercizio, ha pagato una riduzione di € 2.952.508,00, corrispondente a € 2.952.508,00.",35,39,169,173,59,28,27,1,0,10,6,4,0,1,5,1,0,0,6,0,4,0,0,2,6,0,80.0,49.285714285714285,61.428571428571416,0.4857142857142857,27,24,3,4,79.8337996006012,152,12,25,11,18
07108e7d68b7e897ed6a800be9802105,13,"I dati desunti dal bilancio al 31 dicembre 2017 evidenziano una situazione caratterizzata da elementi di elevata criticità, quali:
- sproporzione tra il valore ed il costo della produzione;
- elevato indebitamento della società, con buona parte della consistente esposizione debitoria esigibile entro il corrente anno (per un importo pari ad € 2.140.495,00);
- elevati costi per il personale che, paradossalmente si compone di tre sole unità (un dirigente, un impiegato ed un operario)","I dati del bilancio al 31 dicembre 2017 mostrano una situazione in cui ci sono problemi come usura, aumento al valore e al costo della produzione. L'azienda ha il debito eccessivo e deve avere una grande parte delle spese entro il periodo successivo, con una percentuale di pagamento di € 2.140.495,00. Ma il personale rappresenta tre cose singole (un dirigente, un impiegato e un operario), e ha costi elevati per il personale, che è composto almeno tre sole unità (un dirigente, un impiegato ed un operario).",87,100,412,425,172,65,56,3,0,29,9,5,0,1,15,3,0,6,13,0,13,0,6,0,7,2,74.71264367816092,51.98850574712644,48.49425287356323,0.5172413793103449,74,66,8,8,83.78698825836182,242,36,27,33,19
07108e7d68b7e897ed6a800be9802105,14,"Dalla ""Relazione della società di revisione indipendente sul bilancio al 31 dicembre 2017"" redatta dalla società ""AUDIREVI S.p.A."", (CF 05953410585, PI 12034710157) Società di revisione e organizzazione contabile con sede legale in Milano – emerge, tra l'altro, che la società presenta una difficile situazione finanziaria che, come dichiarato dagli amministratori, va affrontata mediante un intervento da parte della compagine azionaria.","Dalla ""Relazione della società di revisione indipendente sul bilancio al 31 dicembre 2017"" della società ""AUDIREVI S.p.A."", chiamata ""AUDIREVI S.p.A."", è stata fatta attraverso una relazione firmata dalla società ""AUDIREVI S.p.A."" della società ""AUDIREVI S.p.A."" della Società di revisione e organizzazione contabile dell'azienda in Milano. Questo articolo indica che la società ha un difficile momento di finanza che è malato dall'azienda e può affrontare una situazione finanziaria difficile per la comunità azionaria.",78,96,431,449,181,52,45,6,0,20,11,2,0,0,6,1,0,6,16,13,18,0,2,1,6,5,66.66666666666666,56.82051282051282,42.16666666666666,0.47435897435897434,50,45,5,5,85.74963212013245,218,23,24,20,17
07108e7d68b7e897ed6a800be9802105,15,"Il Consiglio di Amministrazione, nel corso del 2017 e del 2018, ha convocato diverse assemblee straordinarie per proporre l'adeguamento del patrimonio sociale alle correnti esigenze della gestione.",Il Consiglio di Amministrazione ha creato diverse riunioni speciali per fare una scelta al patrimonio sociale adattando alle esigenze della gestione.,21,22,128,129,50,21,20,1,0,7,4,0,0,0,3,0,0,2,5,0,1,0,0,0,4,0,100.0,42.333333333333336,30.23809523809524,0.6190476190476191,17,15,2,1,84.40631031990051,76,8,15,7,7
07108e7d68b7e897ed6a800be9802105,16,"Dalla documentazione trasmessa dalla partecipata con nota n. 82103 del 20 novembre 2017, emerge che l'operazione proposta si sostanzia in un aumento del Capitale Sociale a pagamento, per un importo massimo","Dopo aver ricevuto una nota numero 82103 del 20 novembre 2017, abbiamo reso chiaro che l'operazione proposta vuole aumentare il Capitale Sociale a pagare, per un massimo dell'importo massimo.",31,34,160,163,66,30,26,1,0,5,7,3,0,0,4,0,0,5,4,1,3,0,0,2,7,0,96.7741935483871,47.064516129032256,36.61290322580646,0.5483870967741935,23,22,1,1,73.91878366470337,90,13,13,12,9
07108e7d68b7e897ed6a800be9802105,17,"di 3.000.000,00 oltre l'eventuale sovrapprezzo sull'inoptato, mediante l'emissione di nuovi titoli azionari, avente valore nominale di € 5,00 offerti in opzione agli Azionisti della Società ai sensi dell'art. 2441 c.c..","I 3.000.000 euro possono essere sovrappagato per l'inoptato, usando nuovi titoli azionari che corrispondono a € 5,00 offerti per conto delle persone coinvolte, secondo l'articolo 2441 del Decreto legislativo.",31,34,177,180,71,29,27,1,0,8,7,3,0,0,3,1,0,3,6,0,3,0,0,0,7,0,93.54838709677419,41.58064516129032,26.129032258064484,0.5806451612903226,20,19,1,1,76.60088539123535,116,21,24,15,14
07108e7d68b7e897ed6a800be9802105,18,"Gli azionisti avranno la facoltà di esercitare il diritto di opzione in base al rapporto tra il numero delle azioni in circolazione e quello delle azioni emesse. Essendo il capitale sociale, nella sua attuale entità, di € 3.500.000,00, costituito da n. 700.000 azioni in circolazione, ed essendo oggetto di deliberazione l'aumento del capitale sociale per € 3.000.000,00 mediante emissione di n. 600.000 azioni, ciascun azionista potrà esercitare il diritto di opzione in base al rapporto di sei azioni di nuova emissione ogni sette azioni vecchie possedute. È stato tuttavia previsto che l'operazione non si esaurisca nell'ambito dell'attuale base sociale, per cui l'offerta potrebbe rivolgersi a terzi per l'eventuale inoptato pur mantenendo una maggioranza pubblica.","I azionisti hanno il diritto di ricevere una decisione calcolata in base ai numeri delle azioni che vengono consumate e alla sua entità. Nel attuale, invece, sono stati 700.000 azioni in circolazione. Se hai cambiato il capitale sociale, ci saranno 600.000 azioni in circolazione. Tuttavia, se la richiesta ha lo scorso 27% della società, il loro interesse sarà limitato nel valutare diverse azioni per il numero di azioni attuali acquistate. Tuttavia, se l'offerta potrebbe essere aperta secondo una maggioranza pubblica, se la proposta non è ancora fatta in un modo simile, la richiesta potrebbe essere presa per altre società.",100,114,517,531,216,77,59,5,0,25,22,3,1,5,16,2,0,7,15,0,13,0,1,4,10,12,77.0,52.3,45.599999999999994,0.59,88,84,9,4,74.0517258644104,432,55,60,47,43
07108e7d68b7e897ed6a800be9802105,19,"Per quanto riguarda l'Amministrazione Provinciale il diritto di opzione consentirebbe l'acquisto di n. 83.410 azioni, per un importo di € 417.050,00. La sottoscrizione di questo numero di azioni garantirebbe il mantenimento inalterato della quota di capitale sociale posseduta, pari al 13,90%.","Per quanto riguarda l'Amministrazione Provinciale, il diritto di opzione è di acquistare 83.410 azioni, per un importo di € 417.050,00. Chiedi questi scopi, avrà il diritto di vendere 83.410 azioni per un costo di € 417.050,00. La firma di questo numero permetterà di mantenere inalterato la quota di capitale sociale posseduta, pari al 13,90%.",55,63,283,291,108,40,35,3,0,16,9,5,1,0,9,1,0,3,12,0,7,0,0,0,9,0,72.72727272727273,53.90909090909091,60.03030303030303,0.509090909090909,45,42,5,8,93.03785562515259,109,12,7,11,3
07108e7d68b7e897ed6a800be9802105,20,"Come risulta evidente da quanto esposto dal management aziendale nelle relazioni allegate al bilancio al 31 dicembre 2016 e al bilancio 2017, l'operazione è finalizzata esclusivamente alla ristrutturazione patrimoniale che, a sua volta, si pone l'obiettivo di superare l'attuale squilibrio, causa di disavanzi di periodo.","La gestione aziendale ha messo in atto l'operazione solo alla sostituzione dei suoi soldi che riguarda la gestione, che ci aiuta a superare i squilibri di tempo, causando una nuova perdita di denaro durante il periodo.",37,40,180,183,75,34,30,1,0,11,6,0,0,1,7,3,0,2,7,0,3,0,0,0,6,0,91.8918918918919,48.45945945945946,37.24324324324323,0.5405405405405406,34,32,2,4,59.983694553375244,195,26,35,24,20
07108e7d68b7e897ed6a800be9802105,21,"Il programma di sviluppo, sostenuto dall'operazione di aumento del capitale sociale sembra indirizzato al recupero dell'equilibrio gestionale per creare un organismo aziendale equilibrato sia nella sua struttura statica che nelle dinamiche di periodo.","Entro l'investimento d'aumento della quantità di capitale sociale, è diventato necessario creare un organi aziendali equilibrati sia nella sua struttura statica che nei settori di sviluppo.",28,30,162,164,66,27,25,1,0,8,3,0,0,0,3,1,0,5,7,0,2,0,1,0,3,0,96.42857142857143,41.857142857142854,24.785714285714278,0.5714285714285714,23,21,2,3,86.3038957118988,107,14,20,11,13
07108e7d68b7e897ed6a800be9802105,22,"Viste le ristrettezze economiche-finanziarie dovute ai continui e ingenti tagli del Governo centrale, nonché i dati desunti dall'analisi di bilancio, hanno indotto la dirigenza di questo Ente ad esprimere parere sfavorevole all'aumento di capitale sociale della ""Lameziaeuropa S.p.A."" e alla sottoscrizione di nuove azioni. La dirigenza dell'Ente, pur rimanendo contraria all'aumento di capitale, è consapevole che in assenza di tale operazione si verificherà, inevitabilmente, l'acuirsi della crisi aziendale con le conseguenze plasticamente prevedibili.","Una volta preso in considerazione la tendenza economica e finanziaria dovuta a grandi tagli del Governo centrale, e dai dati relativi al bilancio, hanno modificato la direzione dell'Ente il parere sfavorevole all'aumento di capitale sociale della ""Lameziaeuropa S.p.A."" e l'emissione di nuove azioni. La dirigente dell'Ente considera che se è contrario all'aumento di capitale, e se ancora non si verifica, che la crisi aziendale sarà a rischio attuale.",74,83,377,386,160,59,53,3,0,19,8,0,0,2,7,1,0,11,14,4,9,0,4,4,8,0,79.72972972972973,50.21621621621622,40.79279279279278,0.5405405405405406,61,57,5,9,91.56841039657593,218,29,37,27,24
07108e7d68b7e897ed6a800be9802105,23,"Va ancora evidenziata l'impossibilità – in assenza di un processo di ristrutturazione patrimoniale – di garantire l'equilibrio economico-finanziario e di fronteggiare la propria esposizione debitoria, ritenuta dagli organi di amministrazione e controllo della partecipata, indispensabile al superamento della crisi e a garantire la continuità aziendale.","Nell'attesa della ristrutturazione finanziaria, sia in futuro che con una nuova ristrutturazione. Questo non è stato fatto come deciso dagli organi di amministrazione e controllo della società che l'azienda ha bisogno di essere in grado di uscire dalla crisi e garantire che l'azienda finisca meglio.",48,51,253,256,102,38,35,2,0,13,8,0,0,2,3,2,0,3,12,0,3,0,3,2,5,3,79.16666666666666,48.791666666666664,43.875,0.5416666666666666,41,40,1,5,67.72443056106567,188,29,25,27,17
07108e7d68b7e897ed6a800be9802105,24,"Si evidenzia che nel 2019 la società, dopo anni di perdite, ha realizzato un risultato positivo di euro 2.964,00, in linea con il Piano Industriale 2019 – 2023 sottoposto alla valutazione degli Azionisti in occasione dell'Assemblea Straordinaria del 21 gennaio 2019. Sul punto, tra l'altro si rileva che la ""Audirevi"" nella propria relazione sul bilancio 2019 ha preso atto del fatto che ""la società Lamezia Europa SpA ha messo in atto una serie di attività ed interventi, di seguito indicati, che potranno permettere, a partire dall'esercizio di bilancio 2020, di recuperare l'equilibrio finanziario societario, allo stato compromesso, e garantire la continuità aziendale"".","Nel 2019, la società ha avuto un guadagno di € 2.964,00 durante la società. Questo ha avuto un risultato positivo, come indicato nel Piano Industriale 2019 – 2023, sottoposto agli Azionisti durante l'Assemblea Straordinaria del 21 gennaio 2019. Anche se la ""Audirevi"" ha preso alcune decisioni sul bilancio 2019 ha dimostrato che la società Lamezia Europa SpA ha messo in atto attività e interventi che possono rendere lo sviluppo dell'azienda stabile, garantendo un' continuità aziendale.",76,87,404,415,161,59,54,3,0,17,15,7,0,1,10,2,0,5,10,5,11,0,1,3,15,0,77.63157894736842,47.68421052631579,42.96929824561404,0.5,52,47,5,2,88.97505402565002,285,23,44,19,36
07108e7d68b7e897ed6a800be9802105,25,"Al riguardo la ""Audirevi"" ha richiamato l'attenzione sul seguente aspetto commentato dagli amministratori nella Relazione sulla Gestione ""Lo squilibrio economico-finanziario che ne è rivenuto è, comunque, legato a più fattori:","Le ""Audirevi"" hanno parlato dei seguenti aspetti della Relazione sulla Gestione ""Lo squilibrio economico-finanziario"" nell'analisi della situazione economica.",20,26,135,141,53,19,16,1,0,6,2,0,0,0,2,0,0,4,5,1,6,0,0,0,2,0,95.0,36.5,13.75,0.6,13,13,0,0,92.06730723381042,96,12,24,8,19
07108e7d68b7e897ed6a800be9802105,26,"in primis, un risultato fortemente legato alla crisi pandemica che nel 2020 ha investito il nostro Paese ed ha determinato e continuerà a determinare anche per il 2021 conseguenze e ricadute molto negative sull'economia nazionale;","In generale, il risultato grande della crisi pandemica che nel 2020 ha investito il nostro Paese e ha portato a conseguenze negative sull'economia nazionale.",25,27,132,134,55,23,23,1,0,6,4,1,0,0,3,1,0,4,5,0,2,0,1,0,4,0,92.0,48.2,37.99999999999997,0.56,20,20,0,2,90.09590744972229,81,5,15,4,11
07108e7d68b7e897ed6a800be9802105,27,"il residuo debito di €. 2,4 milioni verso Ubi Banca per il mutuo fondiario stipulato a dicembre 2005 occorre che venga rimodulato e ulteriori privilegiati riguardano l'Erario, per i quali sono, anche, in corso delle rateazioni.","Il debito di €. 2,4 milioni verso Ubi Banca per il finanziamento fondiario firmato a dicembre 2005 è valido e bisogna modificare altri aspetti per la situazione dei creditori, che non sono ancora in corso.",35,38,168,171,71,34,31,2,0,9,5,2,0,2,3,1,0,3,7,2,3,0,1,0,5,0,97.14285714285714,58.14285714285714,56.64285714285714,0.5428571428571428,29,26,3,3,78.16526889801025,96,15,16,14,10
